host,endpoint,server_name,authorization_endpoint,issuer,prm_url,auth,oauth_confirmed,remove_reason
rebeccaatwood.com,https://rebeccaatwood.com/api/mcp,storefront-renderer,https://shopify.com/authentication/13035951/oauth/authorize,https://shopify.com/authentication/13035951,https://rebeccaatwood.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rebeccaminkoff.com,https://rebeccaminkoff.com/api/mcp,storefront-renderer,https://account.rebeccaminkoff.com/authentication/oauth/authorize,https://shopify.com/authentication/17549245,https://rebeccaminkoff.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rebike.com,https://rebike.com/api/mcp,storefront-renderer,https://shopify.com/authentication/90496106762/oauth/authorize,https://shopify.com/authentication/90496106762,https://rebike.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
recordexchange.com.au,https://recordexchange.com.au/api/mcp,storefront-renderer,https://shopify.com/authentication/30888525956/oauth/authorize,https://shopify.com/authentication/30888525956,https://recordexchange.com.au/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redapplefireworks.com,https://redapplefireworks.com/api/mcp,storefront-renderer,https://account.redapplefireworks.com/authentication/oauth/authorize,https://shopify.com/authentication/78947811650,https://redapplefireworks.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redcaard.com,https://redcaard.com/api/mcp,storefront-renderer,https://shopify.com/authentication/60699869318/oauth/authorize,https://shopify.com/authentication/60699869318,https://redcaard.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redchief.in,https://redchief.in/api/mcp,storefront-renderer,https://shopify.com/authentication/62941626445/oauth/authorize,https://shopify.com/authentication/62941626445,https://redchief.in/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redclawgaming.com,https://redclawgaming.com/api/mcp,storefront-renderer,https://shopify.com/authentication/36234854536/oauth/authorize,https://shopify.com/authentication/36234854536,https://redclawgaming.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redgatehomefurnishing.com,https://redgatehomefurnishing.com/api/mcp,storefront-renderer,https://shopify.com/authentication/61176479846/oauth/authorize,https://shopify.com/authentication/61176479846,https://redgatehomefurnishing.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redlich-becker.de,https://redlich-becker.de/api/mcp,storefront-renderer,https://shopify.com/authentication/61853171900/oauth/authorize,https://shopify.com/authentication/61853171900,https://redlich-becker.de/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redqueen.mx,https://redqueen.mx/api/mcp,storefront-renderer,https://account.redqueen.mx/authentication/oauth/authorize,https://shopify.com/authentication/9357394017,https://redqueen.mx/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redragonshop.com,https://redragonshop.com/api/mcp,storefront-renderer,https://account.redragonshop.com/authentication/oauth/authorize,https://shopify.com/authentication/1249574961,https://redragonshop.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redshedfurniture.com,https://redshedfurniture.com/api/mcp,storefront-renderer,https://shopify.com/authentication/91742503222/oauth/authorize,https://shopify.com/authentication/91742503222,https://redshedfurniture.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redskins.fr,https://redskins.fr/api/mcp,storefront-renderer,https://shopify.com/authentication/83906003271/oauth/authorize,https://shopify.com/authentication/83906003271,https://redskins.fr/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
redtape.com,https://redtape.com/api/mcp,storefront-renderer,https://shopify.com/authentication/64277872830/oauth/authorize,https://shopify.com/authentication/64277872830,https://redtape.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
reebok.ca,https://reebok.ca/api/mcp,storefront-renderer,https://shopify.com/authentication/63198101734/oauth/authorize,https://shopify.com/authentication/63198101734,https://reebok.ca/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
reebok.com,https://reebok.com/api/mcp,storefront-renderer,https://account.reebok.com/authentication/oauth/authorize,https://shopify.com/authentication/86278340912,https://reebok.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
reebok.com.ar,https://reebok.com.ar/api/mcp,storefront-renderer,https://shopify.com/authentication/92569141620/oauth/authorize,https://shopify.com/authentication/92569141620,https://reebok.com.ar/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
reebok.eu,https://reebok.eu/api/mcp,storefront-renderer,https://shopify.com/authentication/89744671068/oauth/authorize,https://shopify.com/authentication/89744671068,https://reebok.eu/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
reeder.com.tr,https://reeder.com.tr/api/mcp,storefront-renderer,https://bayi.reeder.com.tr/authentication/oauth/authorize,https://shopify.com/authentication/64799866991,https://reeder.com.tr/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
reef.com,https://reef.com/api/mcp,storefront-renderer,https://account.reef.com/authentication/oauth/authorize,https://shopify.com/authentication/58989248667,https://reef.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
reef.eu,https://reef.eu/api/mcp,storefront-renderer,https://account.reef.eu/authentication/oauth/authorize,https://shopify.com/authentication/68174381234,https://reef.eu/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
reefperfumes.com,https://reefperfumes.com/mcp,storefront,https://accounts.salla.com/oauth/authorize,https://accounts.salla.com,https://reefperfumes.com/.well-known/oauth-protected-resource,oauth,True,shopify_storefront
